"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ADG68554.1"	1176.26242274656	-7.04144191085896	0.613946300321195	-11.4691495122214	1.88502778410528e-30	2.63866189219057e-27
"AHV96513.1"	2779.05281517627	-6.9624093424724	0.880144033295721	-7.91053404793473	2.56287068782082e-15	4.51968549042869e-13
"ACZ89712.1"	49902.8938052023	-6.95675586470967	0.600946862927128	-11.5763244537533	5.43257295940946e-31	8.44946180953485e-28
"ADY27459.1"	1590.29975286225	-6.86660811087549	0.783042495693218	-8.76913851884446	1.80038441711107e-18	5.72767751607289e-16
"ACY82919.1"	780.510960879357	6.80707464060968	0.763407616915159	8.91669730532199	4.80400463074446e-19	1.68116142052902e-16
"BAQ02386.1"	1822.74478608324	6.72305187688694	0.591713267688721	11.3620096827433	6.46402682964611e-30	8.22576796012602e-27
"ADM40168.1"	771.062398952689	6.70316914177814	0.741573558124586	9.03911563234566	1.57944411945927e-19	5.89574900911757e-17
"ACH40352.1"	1835.31114509269	-6.70178863518642	1.12434021466699	-5.96064122563774	2.51250054161074e-09	1.24275556824972e-07
"SMY24903.1"	25106.2782008665	-6.67154745641985	0.906175199149217	-7.36231521529565	1.80747536483793e-13	2.2390301023895e-11
"AKK05637.1"	864.971933286142	6.60156321799475	0.683281198746645	9.66156134561308	4.39119571040273e-22	2.50889622670275e-19
"AJF71746.1"	7085.75364151084	-6.55185365137438	0.666313888487605	-9.83298377022539	8.11772999930912e-23	5.09482177910104e-20
"ARU56174.1"	643.437040564998	-6.54941465505805	1.01931964587896	-6.42528051091419	1.31626562874387e-10	9.09880803513911e-09
"AAO79251.1"	913.741264530216	6.53971367887822	0.664036798866282	9.84842058458741	6.96295279489214e-23	4.53336805687908e-20
"ABW29834.1"	554.395090891029	6.53480996395236	0.679075052000057	9.62310416898044	6.3873873159804e-22	3.5062999078076e-19
"AAU12252.1"	937.999245402009	-6.51776552109422	1.259544821451	-5.17469915329074	2.282785040292e-07	6.46196663175073e-06
"AGP40336.1"	10670.6304083775	-6.49407365328205	0.911192149442718	-7.12700790634973	1.02574202551681e-12	1.09605624986139e-10
"ACE84280.1"	665.538100130261	6.4495264872883	0.821902546597838	7.84706959965667	4.25870932737852e-15	7.01334272525229e-13
"AEI71804.1"	709.948849816669	-6.36321633750658	0.902532097416955	-7.05040447394402	1.78398452340956e-12	1.82278944223993e-10
"ABD26648.1"	779.363414360434	-6.33559022037642	0.591344425259733	-10.7138749428367	8.76160110507113e-27	7.91257369476037e-24
"XP_003708928.1"	10546.9407137554	-6.31034952361746	1.03476226567079	-6.09835682356151	1.07164321524982e-09	5.88269087335958e-08
"AEI46533.1"	1525.38393485688	-6.29071807330005	0.942769835414318	-6.67259158810005	2.51325101068838e-11	2.01607379069432e-09
"AEI03313.1"	14616.0153150977	6.2570879439302	0.488933155828348	12.7974302199438	1.69466847678007e-37	3.9536615563279e-34
"ACK79240.1"	3122.97761758376	-6.25559278855994	0.673179576646991	-9.2926063201711	1.50555626971105e-20	6.69040528997312e-18
"ADI10019.1"	6438.5955127258	-6.2409983747099	0.634757395967042	-9.83210028644383	8.18927632731629e-23	5.09482177910104e-20
"ACS99803.1"	3191.80604423415	-6.21314312102538	0.756360982363617	-8.21452093101021	2.13012941187697e-16	4.88812319794325e-14
"AAO75562.1"	832.734602977755	-6.2063058509105	1.13348131977161	-5.47543725922278	4.36432577352174e-08	1.56045548346762e-06
"ACX75582.1"	586.71019357162	-6.20590792840461	1.01130884118178	-6.13651109897605	8.43534733842867e-10	4.75162945848388e-08
"ABF43242.1"	2792.54706555227	-6.18180525680553	0.944622660443975	-6.5442059731026	5.9812315019342e-11	4.40659360863552e-09
"AAO36724.1"	1292.47490575752	-6.15911494946297	0.696385255656307	-8.84440745899814	9.20152719104094e-19	3.0667375623855e-16
"ABE48277.1"	816.1429163231	-6.1530346836283	0.971898718681857	-6.33094227346383	2.43668503210705e-10	1.57546037318404e-08
"ADL56818.1"	649.319435809796	6.14514312315638	0.961915734300261	6.3884422554192	1.67584082745207e-10	1.12780864916703e-08
"AKH81615.1"	13285.4151234929	-6.12965143403598	0.52115880525663	-11.7615808698034	6.15705359852295e-32	1.0139580737897e-28
"AKC06760.1"	1482.9446396491	-6.11900960890346	0.745011840169241	-8.21330518386585	2.15181719674121e-16	4.89774587316804e-14
"AEG47711.1"	3380.22432403648	-6.08977463367383	0.742115591621475	-8.20596508472226	2.2874589193098e-16	5.12317599239977e-14
"ADU12329.1"	1154.2673598687	-6.08554610222165	0.848304671113644	-7.17377412791163	7.29579459186705e-13	8.04145926747677e-11
"SCF03497.1"	2328.88449505196	-6.06690511214802	0.70147549606577	-8.64877696537412	5.20542845409938e-18	1.47203207071683e-15
"AHK00940.1"	1480.08782593773	-6.06566953450742	0.745155857373341	-8.14013534817908	3.94836261713388e-16	8.50295075609846e-14
"AEO58921.1"	4247.63779723794	-6.04684696374287	0.834158019456286	-7.24904253475172	4.1972807390708e-13	4.93727191474899e-11
"APA12064.1"	360.063760461324	-6.0466590400627	0.818152044639541	-7.39062999314109	1.46134751483979e-13	1.84287770384931e-11
"AIQ31859.1"	2424.6263255748	-6.01566829918472	0.596414337662167	-10.0863911534471	6.34598088327383e-24	4.44155202020335e-21
"AFI57924.1"	467.925279684486	-5.9981833392702	1.09976389275327	-5.45406462131949	4.92312975706142e-08	1.73177513599862e-06
"AEA22835.1"	34212.5823027676	-5.98478603353538	0.80214134652838	-7.46101177733473	8.58605752476305e-14	1.11802449517798e-11
"AIQ11159.1"	1708.30329118308	-5.96350269425416	0.722337306963733	-8.25584202388923	1.50835025512548e-16	3.54855241533553e-14
"ADW21705.1"	2777.15020457192	-5.93471616166459	0.530364956158155	-11.1898723563004	4.57091171835566e-29	5.56379323769934e-26
"ADX07316.1"	359.798036922688	-5.92275281170475	0.70964998180231	-8.34601981763267	7.06019660959071e-17	1.7491793299301e-14
"ACL76656.1"	408.843690678884	-5.88398697540511	0.962061653340048	-6.11601860959463	9.59421262424696e-10	5.31880349759243e-08
"ADP36087.1"	3098.22512876348	-5.88074755635198	0.681516963350761	-8.62890855634549	6.19401869559164e-18	1.70007595491945e-15
"ADO53168.1"	3063.68844904676	-5.873158503223	0.674590912779916	-8.7062520291303	3.14088029762585e-18	9.1595921679514e-16
"AEX77884.1"	196.503521262856	-5.83633020790517	0.655062402993797	-8.9095789671819	5.12267256387753e-19	1.77054742096686e-16
"ADW11818.1"	4526.11449938105	5.80555717191456	0.750151956934169	7.73917486750494	1.00064077914306e-14	1.53922743147742e-12
"AKV59543.1"	2468.68058502801	-5.79061946839233	0.679150266043237	-8.5262713686748	1.51140463849346e-17	4.06858502492913e-15
"AKK30611.1"	760.49562185818	-5.78129357898826	0.86495522869025	-6.68392234328998	2.32630112973104e-11	1.87686243308214e-09
"ABP64533.1"	5036.08190663343	-5.77142317004451	0.827661629787462	-6.97316749059222	3.09883320446699e-12	2.9609192625344e-10
"AFM17736.1"	2650.20373125046	-5.76784648466297	0.721874148026186	-7.99009979846757	1.34829562138335e-15	2.55046514974651e-13
"AAC62855.2"	902.084003381503	5.75337706530433	0.539335456980138	10.6675298107022	1.44414570282396e-26	1.26344697175812e-23
"CAY48504.1"	746.087313295145	5.75329922159412	0.719492652222227	7.99632797336355	1.28184654327835e-15	2.45798464559045e-13
"AGJ81161.1"	2344.24197359351	-5.73393001226285	0.406965114517004	-14.0894877907852	4.40746739124374e-45	2.05652428475433e-41
"ADO78181.1"	338.970107173047	-5.72078843730491	0.743377764569444	-7.69566794968413	1.40756910064321e-14	2.10728901292018e-12
"ACF43940.1"	404.354939619954	-5.71921963720184	0.89515169714893	-6.38910662339984	1.66857689170818e-10	1.12562599181354e-08
"AEC03714.1"	714.971256126473	-5.71404303251285	0.920008169775246	-6.21086118605748	5.26950081967677e-10	3.13882861590789e-08
"AEF41469.1"	541.731711653216	5.71164715723026	0.835098820799914	6.83948655532678	7.9477516983467e-12	6.97508641212897e-10
"ABS67196.1"	2306.86946216154	-5.71040836046584	0.685962210852394	-8.32466901255383	8.45646946821879e-17	2.06130583083562e-14
"SDS73681.1"	7891.61155082113	-5.69570671496038	0.444797377151328	-12.80517153999	1.53386485810958e-37	3.90382550614872e-34
"ADE81717.1"	937.493317215433	5.68295730566761	0.716162185175456	7.93529374114512	2.09997712285579e-15	3.79296513106262e-13
"ALG86329.1"	1810.93870065247	-5.68072907388254	0.630701745407291	-9.00699754717512	2.11774811225387e-19	7.69980209748822e-17
"ABR45241.1"	479.218059112305	-5.66968127515672	0.808385817028215	-7.01358331099819	2.32290538998218e-12	2.30610139354401e-10
"ACE85678.1"	892.82530282569	-5.66827927858185	0.960256937680221	-5.90287771549479	3.57215053516301e-09	1.6723399060606e-07
"AGR57123.1"	745.845218622191	-5.66372683225607	0.677200396541919	-8.36344287625574	6.09140271116241e-17	1.52263312769378e-14
"ABM00134.1"	220.649086475218	5.64729882870917	0.803851269550479	7.02530311591993	2.13602016852838e-12	2.12811461345624e-10
"AQA03414.1"	841.975875406417	-5.63472332784252	0.691399322188985	-8.14973799801085	3.64713579412909e-16	7.91513284437504e-14
"ACC72866.1"	2312.32100583344	5.62717703373284	0.429830143176501	13.0916296194289	3.67634589894619e-39	1.14358866429886e-35
"ACA15609.1"	4506.44612533209	-5.61866230566303	0.595324404364954	-9.43798417210291	3.8001975234555e-21	1.74410376830591e-18
"ACU06062.1"	451.774174965532	5.56229131044146	1.00757062636768	5.52049768510388	3.38040847377069e-08	1.25514476965099e-06
"AEO64812.1"	788.93409996679	-5.55233863771018	0.775970867647602	-7.15534418778168	8.34632410731458e-13	9.0567321592395e-11
"ADY53181.1"	329.703105005442	-5.51591480270154	0.680317749843302	-8.10785078586003	5.15229532372886e-16	1.08453879611363e-13
"AFR92540.1"	366.244354860558	-5.51570511359724	0.912223852300627	-6.04643816283321	1.48083030485283e-09	7.92683082498273e-08
"ANY70158.1"	4154.8933817336	-5.50522160903898	1.12623786801539	-4.88815175318164	1.01787058176238e-06	2.3727148049142e-05
"AEB68424.1"	828.246767268836	-5.49406223031606	0.905669109225168	-6.06630189144513	1.30888998807016e-09	7.04686232807926e-08
"ABV87727.1"	155.190617490279	-5.4371911893829	0.675507514843715	-8.04904619105657	8.34417538725632e-16	1.65732642922604e-13
"SDM70148.1"	1161.92467124337	-5.43202073587595	0.584952161193293	-9.28626492257882	1.59797646511663e-20	6.99014829959454e-18
"AEX68898.1"	194.131646994003	-5.3810486901549	0.699511884053985	-7.69257651345293	1.44201191693706e-14	2.1473705120516e-12
"ABR44241.1"	286.842968574871	5.37105763702228	0.810026308724309	6.63071998918286	3.3405340351944e-11	2.58346936047797e-09
"AIQ50255.1"	624.035499890307	-5.36906469305219	0.818720170651097	-6.55787518802961	5.45798595514873e-11	4.05309747481018e-09
"ACF81165.1"	1513.24707759981	-5.33528463214993	0.75908822336617	-7.02854354463656	2.08700495033034e-12	2.08670680676601e-10
"CAE76633.2"	419.161089849626	-5.32998714126156	0.949862566038023	-5.61132455560755	2.00783785806694e-08	7.88379083793016e-07
"AQQ07796.1"	827.759925691054	5.32435210821386	0.761417248882125	6.99268648829641	2.69671688883801e-12	2.63056745713968e-10
"ACI50811.1"	903.214000627189	5.32317537420816	0.561510929813418	9.48009217910856	2.54058543210358e-21	1.20552931791817e-18
"ACL07680.1"	990.990770505697	-5.31605085778415	0.642555298702821	-8.27329705087812	1.30304513753236e-16	3.09152980257254e-14
"AGL16994.1"	6667.12787855504	-5.30900798523314	0.503032956567277	-10.5539963454126	4.86814241468673e-26	4.00848573651676e-23
"AJI95063.1"	400.853818707742	-5.2977852435852	0.660166227483994	-8.0249261822677	1.01587011162646e-15	1.9750208086871e-13
"AEX82404.1"	194.891023525549	-5.29400231046341	0.635953046649467	-8.32451756989762	8.46728713195087e-17	2.06130583083562e-14
"ACU59074.1"	456.175518400541	5.29352135786201	0.701540504684903	7.54556767928831	4.50321575270739e-14	6.30360141063981e-12
"ADB82988.1"	233.70283665866	-5.28362212726006	0.770033987603696	-6.8615440517144	6.81201906294465e-12	6.09294842447918e-10
"ADT70315.1"	257.146685608232	5.28359995085213	0.764917284739641	6.90741346320935	4.93569844812025e-12	4.56038989285725e-10
"ADE53086.1"	585.159188713832	-5.27959506046066	0.669831361975827	-7.88197650956092	3.22242614077136e-15	5.53466516791626e-13
"AEA85782.1"	1714.77240731116	-5.27331575231007	0.518685203953529	-10.1666978585773	2.79214335257913e-24	2.00432936663603e-21
"AJA09151.1"	4082.22252477733	-5.25949703882223	0.58760626080516	-8.95071647401351	3.53182441228418e-19	1.26765328520908e-16
"ADE53255.1"	972.486541751557	-5.25924170578237	0.812237322253694	-6.47500621024123	9.48080417649008e-11	6.66895964133207e-09
"AIQ60673.1"	3883.54221739804	-5.25580325959278	0.347775413058479	-15.1126360928482	1.33682956290745e-51	9.35647011078921e-48
"AFN74376.1"	1536.54239076998	-5.24613399921623	0.723151095049276	-7.25454754218239	4.03006706553328e-13	4.76058048804513e-11
"ABP81441.1"	1720.2480945064	-5.24575322925857	0.498218926939878	-10.5290123389704	6.34971956699602e-26	4.9379652499339e-23
"ANH73973.1"	1645.83857297478	5.23773860447059	0.342180799169814	15.3069331101517	6.87291759832384e-53	9.62071005413371e-49
"AGP29857.1"	6261.23790907529	-5.22757237197095	0.59488820808945	-8.78748696122232	1.52942625843721e-18	4.97881599200093e-16
"AEF99156.1"	865.81244575005	-5.21813728889536	0.883341664902092	-5.90726951555458	3.47824459157934e-09	1.63658715270345e-07
"AJQ95007.1"	408.44657503155	-5.21223417331079	0.746429137853621	-6.98289215812063	2.89164382112908e-12	2.78194022049243e-10
"ABC33213.1"	3338.63186772679	-5.20324521832511	0.690606704129758	-7.53431032049101	4.90922535471839e-14	6.8038947044899e-12
"AKN91038.1"	608.395254291467	-5.19333270361271	0.91678526611827	-5.66472094997952	1.47263993290453e-08	5.91066628580339e-07
"AAZ28124.1"	512.988591616442	-5.18105742735748	0.723449951321987	-7.1615975892872	7.97422153575522e-13	8.75475710254914e-11
"ADC56616.1"	240.204988771347	-5.17943120494352	0.801756616561837	-6.46010409886532	1.04630980263529e-10	7.3048601582488e-09
