"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AIT05786.1",18010.1946271352,6.27535454546163,0.77820227918043,8.06391180461534,7.38910761014719e-16,1.28532392117541e-12
"ADV23282.1",3596.24825119352,6.23195979306002,1.41460359352101,4.40544603562641,1.05566431313362e-05,0.000765371751152438
"ACZ89199.1",12427.1150584212,6.12333884186534,1.08633684046632,5.63668524694131,1.73354540650334e-08,3.13313567291101e-06
"AAU12252.1",1064.07347064607,6.096933890516,1.75346952884079,3.47706862892943,0.000506928043684566,0.0149496506868888
"AEI71804.1",624.143222715009,6.08059285550067,1.35671117552495,4.48186243704222,7.39944363323422e-06,0.000582878821283231
"ABE48277.1",762.053310233684,6.06518572841717,1.34655318938891,4.50423033877309,6.66139242430119e-06,0.000533396242126876
"AEV16571.1",3438.07333883253,-6.0094550981687,1.35300795873369,-4.44155192094589,8.93123901215078e-06,0.00067660820576183
"ACZ89712.1",61264.2311690845,5.98183318607435,0.900310866393158,6.6441863686916,3.04896587746755e-11,1.11808671880524e-08
"ABX05714.1",1440.12863030304,-5.91280776437429,0.81039757847002,-7.29618143175761,2.96049632624867e-13,2.58308408769207e-10
"CAY48504.1",984.310115364512,-5.9116994980424,1.20884995769941,-4.89035008885064,1.00656793310059e-06,0.00011421160722531
"ADB37458.1",535.288282044026,-5.89343033211635,1.28347950716579,-4.59176036642017,4.39522866426578e-06,0.000384714475812868
"AAO75562.1",1250.82929273828,5.8933648193357,1.43392635367729,4.10994944351376,3.95745751521857e-05,0.00210368797284823
"AHZ47303.1",798.793112417414,-5.88267933706632,0.935014566777565,-6.29153763597544,3.14336580583267e-10,9.0382482937482e-08
"AEA22835.1",38542.9479085591,5.88145595112004,1.19074123238721,4.93932333167707,7.83941319482516e-07,9.2260777706354e-05
"ACI50811.1",1086.81791993189,-5.8812930030518,0.872084166272273,-6.74395113511969,1.5413639705829e-11,6.20236696641787e-09
"ABQ36175.1",27021.7654310985,-5.8346827172843,0.724601425077998,-8.0522650319881,8.12756698368042e-16,1.28532392117541e-12
"AHV96513.1",2633.16274334196,5.798953520686,1.26004020246548,4.6021972230246,4.18057046278726e-06,0.000369863546922749
"ANH73973.1",1960.68351525097,-5.74947282063363,0.550443519161393,-10.4451639822974,1.54188685188619e-25,9.75359075331906e-22
