"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"AAO79251.1"	965.792852803773	7.42533334592259	0.930752361610929	7.97777545583764	1.48994126307457e-15	1.03006024978901e-12
"ACY82919.1"	1219.99663290863	7.2558049935063	1.04484770008837	6.9443661434031	3.80163341525173e-12	1.24308275336278e-09
"AHV96513.1"	2633.16274334196	-7.23473560524709	1.25849697278158	-5.74871117032295	8.99262829199059e-09	1.04112261617845e-06
"AJF71746.1"	10683.0262979295	-7.23038943557783	1.01696202292877	-7.10979296429862	1.16217157774541e-12	4.39391651042275e-10
"ADL56818.1"	919.806772506534	7.15056552446913	1.48002593758304	4.831378520397	1.35590940038599e-06	7.34811793398971e-05
"ACE84280.1"	1053.60105934092	7.1141383971851	1.05575703868928	6.73842383851618	1.60113946078514e-11	4.40258767416113e-09
"SCF03497.1"	3432.22772746942	-7.07751610606136	0.973150993674875	-7.27278310566667	3.5215551347979e-13	1.49493104555622e-10
"AHK00940.1"	2144.73710013831	-7.071943070848	1.13920916811199	-6.2077652364476	5.37433543097536e-10	9.43058304105077e-08
"AAU12252.1"	1064.07347064607	-7.0578200696025	1.7542133765472	-4.02335323852924	5.73753427850523e-05	0.00155292077110728
"AHV98773.1"	35203.6033500778	-7.0145280391963	1.26032612303253	-5.56564520167074	2.61184189846812e-08	2.62235429117149e-06
"ADM40168.1"	1206.78531262007	6.99672889150582	0.982104085573773	7.12422338353081	1.04669170197844e-12	4.02012684329718e-10
"ADX07316.1"	570.893197489296	-6.99628802495268	0.994061890686086	-7.03808091880874	1.94905496703055e-12	7.0389974682445e-10
"AIQ11159.1"	2522.09513886616	-6.95753453362315	1.0481769330508	-6.63774818376579	3.18511388512155e-11	7.84872445023169e-09
"AKC06760.1"	2129.05204766878	-6.93449482190015	1.13421799698731	-6.1138994799231	9.722556064712e-10	1.57890395367675e-07
"ADG68554.1"	982.011605791162	-6.92834872862841	0.85440931700459	-8.10893396260938	5.10657888186719e-16	4.11879630681801e-13
"BAQ02386.1"	2151.22604697406	6.92552110768548	0.922525444717408	7.50713288976755	6.04363694567503e-14	3.17908441683693e-11
"CDO72503.1"	2500.99895830875	6.88472777935886	1.1028759767519	6.24252220964611	4.30570615931148e-10	7.83347157419999e-08
"AEG47711.1"	4482.39182654797	-6.87522409238864	1.08314796040962	-6.34744683430748	2.18917595708543e-10	4.41429088613302e-08
"ACK79240.1"	3859.2985312921	-6.86512809182514	1.00934925715127	-6.80153875696199	1.03507543684149e-11	2.94655533473572e-09
"ADV23282.1"	3596.24825119352	-6.81613370832597	1.41418402650392	-4.81983502895059	1.43676981040805e-06	7.6073345957207e-05
"ACU06062.1"	765.451162582828	6.79944530835934	1.22754293456323	5.53906923897423	3.04083413161997e-08	2.97890945274528e-06
"ABD26648.1"	910.153594532001	-6.78217925002464	0.858726772230715	-7.89794783317	2.83532760863327e-15	1.85422762557025e-12
"ABM00134.1"	298.441060276416	6.7666303066758	1.30498203241876	5.18522871470802	2.15749929065134e-07	1.56771802810482e-05
"ACS99803.1"	4336.12697138591	-6.764648254974	1.08972854012458	-6.20764530421556	5.37843724290204e-10	9.43058304105077e-08
"ADN16569.1"	2944.62260715788	-6.76412665833492	0.952872236324768	-7.09867115493278	1.25962125604505e-12	4.68908546654185e-10
"AEI03313.1"	20494.4437605358	6.73623716097685	0.620225312667249	10.8609516951315	1.76895946029888e-27	7.13391867680868e-24
"ADZ81084.1"	309.215137257378	6.72573599110472	1.03192955277482	6.51763094972855	7.14264589638963e-11	1.63047738448056e-08
"ADO53168.1"	3659.49719012252	-6.68271378659145	1.00655799731583	-6.63917410065996	3.15445629739934e-11	7.84872445023169e-09
"ADR24180.1"	3273.70773818838	6.68217438202647	1.86216431306403	3.58839138691877	0.000332724550864106	0.00620257007492972
"ADP36087.1"	3721.47956175963	-6.65607293499693	1.01974011177619	-6.52722478809166	6.69994587681299e-11	1.55883259981965e-08
"ARU56174.1"	609.64337367881	-6.63141173306684	1.2129813117847	-5.46703536867344	4.57624767964291e-08	4.25890250401229e-06
